id_vet_especialidad;id_veterinario;id_prestacion;id_especialidad;nombres;apellidos;sexo;especialidad;id_clinica
161;33;52;11;Raúl Marcelo;De La Fuente García;MASCULINO;Etología;19
162;33;57;12;Raúl Marcelo;De La Fuente García;MASCULINO;Gastroenterología;16
162;33;57;12;Raúl Marcelo;De La Fuente García;MASCULINO;Gastroenterología;19
163;33;48;10;Raúl Marcelo;De La Fuente García;MASCULINO;Endocrinología;16
163;33;48;10;Raúl Marcelo;De La Fuente García;MASCULINO;Endocrinología;19
164;33;11;3;Raúl Marcelo;De La Fuente García;MASCULINO;Cirugía;16
164;33;11;3;Raúl Marcelo;De La Fuente García;MASCULINO;Cirugía;19
165;33;17;4;Raúl Marcelo;De La Fuente García;MASCULINO;Dermatología;16
165;33;17;4;Raúl Marcelo;De La Fuente García;MASCULINO;Dermatología;19
166;33;20;4;Raúl Marcelo;De La Fuente García;MASCULINO;Dermatología;16
166;33;20;4;Raúl Marcelo;De La Fuente García;MASCULINO;Dermatología;19
